"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GT60.hmm",43.9856741085128,-4.6541826335835,2.1736379245038,-2.14119498979848,0.0322583169149476,0.110460297314821
"CBM41.hmm",4970.32324547473,3.07234606619084,1.48254992657715,2.07233902286458,0.0382338356379218,0.128967863495079
"PL22.hmm",895.433088931503,1.08442386426896,0.533446323469839,2.03286407002535,0.0420662579317216,0.138916560611216
"CBM50.hmm",1618.41222928759,0.512894668776952,0.252726068991712,2.02944900311718,0.0424125782397076,0.138916560611216
"GH16.hmm",909.801668514393,0.720982330695037,0.359051754017395,2.00801784875867,0.0446413950128171,0.144127932469952
"CE4.hmm",2422.99549992262,-0.389452179212734,0.196174854198736,-1.98522986446671,0.0471189030816073,0.149984114034412
"AA5.hmm",12481.9574655265,-1.65243763215644,0.837436989248975,-1.97320831700826,0.0484718332973948,0.152147698961267
"GH74.hmm",1472.44152823772,-1.04607552003387,0.534159062208378,-1.95835958620465,0.0501878334371499,0.155376032284875
"PL13.hmm",174.18659904923,-2.05375427025848,1.06955111348461,-1.92020207764295,0.0548323793007853,0.165337254489779
"GT56.hmm",1229.17299728125,-1.71704296481185,0.894332512432855,-1.91991562527563,0.0548685579059002,0.165337254489779
"GT74.hmm",4941.21295210647,-1.80068557254068,0.944043343753102,-1.90741832401672,0.0564664383809477,0.167913356238081
"PL10.hmm",2672.41536849356,-1.27933396335108,0.678212905044606,-1.88633090558332,0.0592503770497132,0.173600455052236
"GH101.hmm",2897.18829349012,1.34428110389468,0.714504560117835,1.88141710904264,0.0599152013012142,0.173600455052236
"GT92.hmm",786.636538664863,-1.24739168550724,0.665686651307863,-1.87384211934626,0.0609521891303192,0.174369553714584
"GH97.hmm",843.193350095467,-1.350861922708,0.726270958852277,-1.85999716255042,0.0628859274071647,0.17765274492524
"GT80.hmm",318.960000565353,2.88502322526342,1.56949437874932,1.83818640214717,0.0660349428008823,0.184245642876536
"GH78.hmm",885.305924847905,-0.442455855017465,0.244103735818477,-1.81257305847416,0.0698976962688954,0.189537578330641
"dockerin.hmm",2188.99675058367,-1.000035722653,0.552020916082947,-1.81159027405899,0.0700495288600018,0.189537578330641
"CE14.hmm",3657.92903379928,-1.26338308031309,0.698379082654196,-1.80902193621205,0.0704475954857249,0.189537578330641
"PL24.hmm",309.220928772141,-0.700136710205689,0.391222704771335,-1.78961165000613,0.0735163643300553,0.194010539474287
"PL1.hmm",4929.10089275217,0.612903203726604,0.342847637145786,1.78768390772366,0.0738270194459676,0.194010539474287
"CBM70.hmm",397.893954014001,-1.2907242682238,0.757564260166589,-1.70378189163777,0.0884218422387466,0.226961262174962
"CBM38.hmm",279.175904851066,1.817174628496,1.07518056152771,1.69011112506908,0.0910066969031587,0.226961262174962
