kegg,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K08859,644.962128,-10.25982819,1.6863232,-6.08414104,1.17E-09,7.00E-08
K11089,1456.686959,3.576170261,0.587878065,6.0831837,1.18E-09,7.00E-08
K18985,689.5566839,-10.41963608,1.718557847,-6.063011554,1.34E-09,7.87E-08
K16537,1267.55483,-7.889146163,1.308551384,-6.028915836,1.65E-09,9.63E-08
K02756,2313.71886,2.971834202,0.493032992,6.027657885,1.66E-09,9.63E-08
K12495,1513.562698,-9.548689355,1.59011631,-6.005025728,1.91E-09,1.10E-07
K02423,759.8557374,-12.26992684,2.045343126,-5.998957674,1.99E-09,1.13E-07
K00185,371.8579787,11.71810219,1.959750099,5.979385937,2.24E-09,1.26E-07
K02280,781.4270684,5.450248044,0.911827341,5.977280786,2.27E-09,1.27E-07
K00021,4160.898698,-8.394122197,1.409602706,-5.954956075,2.60E-09,1.44E-07
K17943,1677.430934,-11.22197978,1.887718137,-5.944732721,2.77E-09,1.53E-07
K06726,916.146572,-4.804905105,0.809150762,-5.938207477,2.88E-09,1.57E-07
K11485,946.2995628,-11.62403568,1.967514397,-5.907979985,3.46E-09,1.88E-07
K09500,401.7283104,-8.376977937,1.418196885,-5.906780664,3.49E-09,1.88E-07
K09949,319.7480032,12.46239967,2.112479256,5.899418723,3.65E-09,1.95E-07
K00404,310.8451253,12.42165553,2.110823817,5.884742931,3.99E-09,2.11E-07
K13761,1401.835069,3.398232265,0.577565202,5.883720582,4.01E-09,2.11E-07
K18008,399.045367,12.78197167,2.182554739,5.856426618,4.73E-09,2.46E-07
K05016,509.2586652,-10.73020715,1.832387758,-5.85586053,4.75E-09,2.46E-07
K08052,2789.01832,-6.961625247,1.189412118,-5.85299674,4.83E-09,2.47E-07
K05727,1812.588989,-13.52414371,2.310964077,-5.852165271,4.85E-09,2.47E-07
K14805,575.8262128,-9.210032928,1.577907718,-5.836864111,5.32E-09,2.69E-07
K16811,444.1431639,-9.781354932,1.677475836,-5.830996024,5.51E-09,2.75E-07
K15979,528.022523,-11.7447731,2.014199115,-5.830989108,5.51E-09,2.75E-07
K08516,560.412324,-10.86829078,1.872716951,-5.803488231,6.49E-09,3.21E-07
K06721,923.9038596,-12.55191931,2.164571253,-5.798801628,6.68E-09,3.28E-07
K12855,2151.270159,-9.299420233,1.607808782,-5.783909343,7.30E-09,3.56E-07
K05117,1159.057808,-6.637147385,1.148321537,-5.779868415,7.48E-09,3.62E-07
K08601,650.1837707,-9.390197941,1.625497517,-5.776814694,7.61E-09,3.66E-07
K04352,546.6214272,-11.79474082,2.042900427,-5.773527024,7.76E-09,3.71E-07
K00311,608.3225575,-7.969477702,1.384902522,-5.754540538,8.69E-09,4.11E-07
K15122,1306.481723,-9.192383282,1.597556445,-5.754027227,8.71E-09,4.11E-07
K07677,518.8294667,5.854135474,1.021007547,5.733684823,9.83E-09,4.60E-07
K16743,721.6581903,-10.49321382,1.830772302,-5.731577767,9.95E-09,4.62E-07
K02533,276.2967154,7.65908109,1.33682699,5.729298665,1.01E-08,4.65E-07
K12852,332.5540805,-10.11508178,1.772418631,-5.706937175,1.15E-08,5.27E-07
K11179,287.8500273,12.31029698,2.164635442,5.687007032,1.29E-08,5.89E-07
K15374,695.5827294,-8.980346262,1.581475919,-5.678459061,1.36E-08,6.15E-07
K16919,13038.97635,-3.461619264,0.610428793,-5.670799449,1.42E-08,6.39E-07
K00441,21740.6177,2.676031712,0.474341277,5.641574627,1.69E-08,7.52E-07
K10685,702.4998847,-8.996321369,1.597457395,-5.63165027,1.78E-08,7.92E-07
K09961,768.2898671,3.928665646,0.698800141,5.622016104,1.89E-08,8.32E-07
K04261,374.9150903,-7.810500626,1.395457774,-5.597088478,2.18E-08,9.55E-07
K08495,993.6204445,-10.69631432,1.91307335,-5.591167908,2.26E-08,9.81E-07
