full_classification	GM1a_eukulele_ALL.txt	GM4c_eukulele_ALL.txt	GM4a_eukulele_ALL.txt	GM1c_eukulele_ALL.txt	GM4b_eukulele_ALL.txt	GM1b_eukulele_ALL.txt
Archaea; Euryarchaeota; Halobacteria; Halobacteria; Haloferacales; Halorubraceae	35.509	128.01548	145.13475	21.90205	91.89105	22.389650000000003
Archaea; Euryarchaeota; Halobacteria; Halobacteria; Haloferacales; Halorubraceae; Halolamina	31.51677		3.54806	7.57594		17.87377
Archaea; Euryarchaeota; Methanobacteria	1214.67296	622.4993099999998	1129.9666100000002	861.1936499999998	825.6933599999999	671.7412699999999
Archaea; Euryarchaeota; Methanobacteria; Methanobacteria	14232.038560000005	8727.338510000001	10690.336000000008	8905.42668	13486.699229999997	8113.161630000002
Archaea; Euryarchaeota; Methanobacteria; Methanobacteria; Methanobacteriales	4502.215890000001	3375.855709999997	5256.738240000005	2785.38535	5926.134880000009	2244.718050000001
Archaea; Euryarchaeota; Methanobacteria; Methanobacteria; Methanobacteriales; Methanobacteriaceae	982.74735	670.0772900000001	1499.4669299999996	440.2193600000001	1387.57864	977.09673
Archaea; Euryarchaeota; Methanobacteria; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium	45.979960000000005	50.07345	66.06627999999999		88.24600000000001	
Archaea; Euryarchaeota; Methanococci	4930.670030000001	4256.059739999999	5240.13108	4991.552390000003	5656.113850000005	3119.29556
Archaea; Euryarchaeota; Methanococci; Methanococci	43080.28895	36006.901179999986	40005.830260000046	38588.739160000005	45938.42337000008	25209.560959999984
Archaea; Euryarchaeota; Methanococci; Methanococci; Methanococcales	29681.943669999982	32800.58238000001	42559.06416000001	29445.7479	39857.38989999997	16991.39807000003
Archaea; Euryarchaeota; Methanococci; Methanococci; Methanococcales; Methanocaldococcaceae	246.26667000000003	255.92756	219.63466000000005	563.0591999999999	363.63184	187.14934
Archaea; Euryarchaeota; Methanococci; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus	39.48647	14.73025	3.19865		27.00604	20.25825
Archaea; Euryarchaeota; Methanococci; Methanococci; Methanococcales; Methanococcaceae	4108.93698	2807.3340100000005	4323.166440000003	2495.3406200000004	3121.9642000000017	1966.9519200000004
Archaea; Euryarchaeota; Methanococci; Methanococci; Methanococcales; Methanococcaceae; Methanococcus	45.52053	38.97988	86.48628000000001	3.45297	80.18386	11.9384
Archaea; Euryarchaeota; Methanomada group; Methanococci	1053.18356	251.84107	677.85897	308.33177	338.14747000000006	156.21578
Archaea; Euryarchaeota; Methanomada group; Methanococci; Methanococcales	272.62686	453.42760000000015	673.0136099999999	181.46103	670.04604	184.27534
Archaea; Euryarchaeota; Methanomada group; Methanococci; Methanococcales; Methanococcaceae	81.33702	12.17632	61.45771	34.1507	16.993850000000002	12.28513
Archaea; Euryarchaeota; Methanomicrobia	8565.928670000003	7681.243890000003	9453.36177	6142.858639999999	8279.331709999995	5067.686019999998
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia	116965.63693000012	102050.63805999976	117762.28657999996	109062.58339999962	116493.70241000011	72190.22330000014
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanomicrobiales	13435.277629999991	15608.418460000015	16608.18079000004	8696.658590000001	14920.377530000003	8420.861450000004
